change,changeOverTime,changePercent,close,fClose,fHigh,fLow,fOpen,fVolume,high,id,key,label,low,marketChangeOverTime,open,subkey,symbol,uClose,uHigh,uLow,uOpen,uVolume,updated,volume
-0.05,-0.030813008,-0.0004,119.21,119.0321,120.3502,118.3931,119.4415,103350674,120.53,HISTORICAL_PRICES,AAPL,12-Nov-20,118.57,-0.030813008,119.62,,AAPL,119.21,120.53,118.57,119.62,103350674,2/5/2021 2:16,103350674
0.28,-0.028536585,0.0023,119.49,119.3117,119.4515,116.2663,117.0151,112294954,119.63,HISTORICAL_PRICES,AAPL,11-Nov-20,116.44,-0.028536585,117.19,,AAPL,119.49,119.63,116.44,117.19,112294954,2/5/2021 2:16,112294954
-3.52,-0.057154472,-0.0295,115.97,115.797,117.4145,113.9597,115.3776,138023390,117.59,HISTORICAL_PRICES,AAPL,10-Nov-20,114.13,-0.057154472,115.55,,AAPL,115.97,117.59,114.13,115.55,138023390,2/5/2021 2:17,138023390
0.35,-0.054308943,0.003,116.32,116.1464,121.808,115.8768,120.3202,154515315,121.99,HISTORICAL_PRICES,AAPL,9-Nov-20,116.05,-0.054308943,120.5,,AAPL,116.32,121.99,116.05,120.5,154515315,2/5/2021 2:17,154515315
2.37,-0.03504065,0.0204,118.69,118.5129,119.0221,115.9567,118.1435,114457922,119.2,HISTORICAL_PRICES,AAPL,6-Nov-20,116.13,-0.03504065,118.32,,AAPL,118.69,119.2,116.13,118.32,114457922,2/5/2021 2:16,114457922
0.34,-0.032276423,0.0029,119.03,118.6477,119.2358,116.4932,117.5712,126387074,119.62,HISTORICAL_PRICES,AAPL,5-Nov-20,116.8686,-0.032276423,117.95,,AAPL,119.03,119.62,116.8686,117.95,126387074,2/5/2021 2:16,126387074
-4.08,-0.065447154,-0.0343,114.95,114.5808,115.2187,111.9892,113.7734,138235482,115.59,HISTORICAL_PRICES,AAPL,4-Nov-20,112.35,-0.065447154,114.14,,AAPL,114.95,115.59,112.35,114.14,138235482,2/5/2021 2:17,138235482
-4.51,-0.102113821,-0.0392,110.44,110.0853,111.1319,108.3808,109.3078,107624448,111.49,HISTORICAL_PRICES,AAPL,3-Nov-20,108.73,-0.102113821,109.66,,AAPL,110.44,111.49,108.73,109.66,107624448,2/5/2021 2:17,107624448
-1.67,-0.115691057,-0.0151,108.77,108.4207,110.3245,106.9753,108.7596,122866899,110.68,HISTORICAL_PRICES,AAPL,2-Nov-20,107.32,-0.115691057,109.11,,AAPL,108.77,110.68,107.32,109.11,122866899,2/5/2021 2:16,122866899
0.09,-0.11495935,0.0008,108.86,108.5104,111.6303,107.374,110.7033,190573476,111.99,HISTORICAL_PRICES,AAPL,30-Oct-20,107.72,-0.11495935,111.06,,AAPL,108.86,111.99,107.72,111.06,190573476,2/5/2021 2:16,190573476
